scale,ar,da,de,el,en,es,es_mx,et,fr,fr_be,he,hr,hu,hy,id,is,it,ja,ko,mk,nl,pt,ru,sl,sr,sv,tr
IPIP-JPI-Sas,,,,,6*,,,1,2,2,1,5,,,,1,,1,1,1,,,,,6*,6*,1
IPIP-JPI-Scf,2,1,5,4,9*,4,1,4,6,6,4,9*,2,1,4,6,1,3,4,3,1,5,4,5,9*,9*,3
IPIP-JPI-Soc,1,1,2,1,5*,1,1,2,3,3,2,5*,,1,1,,1,2,2,2,1,2,1,2,5*,5*,4
IPIP-JPI-Tol,,,,,6*,,,2,3,3,2,5,,,,2,,1,2,1,,,,,6*,6*,5
IPIP-JPI-Trv,,3,,,10*,,3,5,6,6,5,6,,3,,,3,5,5,1,3,,,,10*,10*,4
IPIP-LOC,1,9,1,1,55*,1,9,16,22,22,16,45,1,9,1,1,9,15,16,11,8,1,1,1,55*,55*,21
IPIP-Levenson-Locus-of-Control,,4,,,20*,,4,7,8,8,7,16,,4,,,4,6,7,5,3,,,,20*,20*,10
IPIP-Levenson-Locus-of-Control-Chance,,1,,,10*,,1,3,5,5,3,9,,1,,,1,3,3,2,1,,,,10*,10*,4
IPIP-Levenson-Locus-of-Control-External,1,3,1,1,10*,1,3,4,6,6,4,9,1,3,1,1,3,4,4,3,3,1,1,1,10*,10*,4
IPIP-Levenson-Locus-of-Control-Internal,,1,,,10*,,1,2,3,3,2,6,,1,,,1,2,2,1,1,,,,10*,10*,3
IPIP-Levenson-Locus-of-Control-Rational,,,,,5*,,,,,,,5*,,,,,,,,,,,,,5*,5*,
IPIP-MPQ,11,21,17,11,95*,11,21,48,63,63,48,77,7,21,11,29,21,49,48,36,25,17,11,17,95*,95*,65
IPIP-MPQ-AB,,1,,,3*,,1,1,2,2,1,3*,,1,,1,1,1,1,1,1,,,,3*,3*,3*
IPIP-MPQ-AC,1,1,1,,5*,,1,1,2,2,1,4,,1,,3,1,1,1,1,1,1,,1,5*,5*,2
IPIP-MPQ-AG,,2,2,,10*,,2,7,7,7,7,10*,2,2,,8,2,7,7,6,2,2,,2,10*,10*,9
IPIP-MPQ-AL,,1,,,5*,,1,2,4,4,2,5*,,1,,,1,2,2,1,1,,,,5*,5*,4
IPIP-MPQ-CO,3,2,4,3,10*,3,2,4,9,9,4,9,,2,3,5,2,8,4,3,3,4,3,4,10*,10*,9
IPIP-MPQ-HA,,2,,,10*,,2,6,7,7,6,10*,,2,,,2,6,6,5,2,,,,10*,10*,8
IPIP-MPQ-SC,,,,,3*,,,1,2,2,1,2,1,,,2,,1,1,1,,,,,3*,3*,3*
IPIP-MPQ-SP,2,,3,3,6*,3,,3,4,4,3,6*,1,,3,4,,2,3,2,1,3,3,3,6*,6*,2
IPIP-MPQ-SR,3,2,5,3,6*,3,2,6*,6*,6*,6*,6*,,2,3,3,2,5,6*,5,4,5,3,5,6*,6*,5
